ID,Ref.,Alloy,Dmax,Tsol,Tliq,T0,T0 phase,Hmelt,Smelt,Hmix,Sconf,DGM Tsol,DGM phase Tsol,DGM T0,DGM phase T0,r_average,deltaR,VEC_average,chi,deltachi,Fe,Co,B,Si,Nb,Ni,Y,Zr,Cr,Mo,P,C,Hf,Al,Dy,Er,Mn,Ti,V,Cu,Sn,W,Ta
417,[62],Fe50Mn10Cr4Mo12Er3C15B6,6,1394.0918,2393.0351,398,FCC_L12,60668.262,33.16020628,-31222.3111,-1.518588135,2.2999,FCC_L12#1,16.133,FCC_L12#1,0.12199,0.204151285,6.23,1.9367,0.319527949,0.5,0,0.06,0,0,0,0,0,0.04,0.12,0,0.15,0,0,0,0.03,0,0.1,0,0,0,0,0
418,[62],Fe51Mn10Cr4Mo12Dy2C15B6,6.5,1396.0942,2393.6398,398,FCC_L12,60638.942,33.13887979,-31203.14924,-1.48846399,2.2919,FCC_L12#1,16.133,FCC_L12#1,0.12153,0.200440872,6.28,1.9422,0.312878826,0.51,0,0.06,0,0,0,0,0,0.04,0.12,0,0.15,0,0,0.02,0,0,0.1,0,0,0,0,0
419,[66],Fe60Cr10Mo9C10B6Er2Ni3,8,1359.9212,1462.5354,445.7,BCC_B2,18613.27,13.33713554,-20008.63822,-1.335969338,0.18625,M2B_C16,6.6957,M2B_C16,0.12205,0.170309164,6.88,1.9179,0.258078651,0.6,0,0.06,0,0,0.03,0,0,0.1,0.09,0,0.1,0,0,0,0.02,0,0,0,0,0,0,0
420,[66],Fe60Cr10Mo9C13B6Er2,8,1336.6512,1434.6454,470.7,BCC_B2,18125.77,13.17864876,-22890.93822,-1.265742799,0.17921,M2B_C16,6.3665,MOB_BG,0.12052,0.183585859,6.7,1.9371,0.279679442,0.6,0,0.06,0,0,0,0,0,0.1,0.09,0,0.13,0,0,0,0.02,0,0,0,0,0,0,0
421,[66],Fe64Cr10Mo9C15Er2,5,1419.6212,1527.9254,1255,FCC_L12,15977.17,10.96128399,-18287.43822,-1.095405818,0.080823,M6C_E93,0.30438,M7C3_D101,0.1225,0.166752553,6.92,1.9389,0.292495795,0.64,0,0,0,0,0,0,0,0.1,0.09,0,0.15,0,0,0,0.02,0,0,0,0,0,0,0
422,[66],Fe65Cr9Mo8C10B6Er2,5,1348.8712,1429.9354,527.7,BCC_B2,16962.97,12.25918539,-19722.43822,-1.176085904,0.14303,M2B_C16,5.1519,MOB_BG,0.12192,0.16993468,6.86,1.9139,0.256362614,0.65,0,0.06,0,0,0,0,0,0.09,0.08,0,0.1,0,0,0,0.02,0,0,0,0,0,0,0
423,[66],(Fe60Cr10Mo9C13B6Er2)98Al2,8,1371.725176,1460.291228,491.7456,BCC_B2,18737.30496,13.29400888,-23356.9096,-1.338467056,0.18195,MB_B33,6.9653,ALCR2C,0.1209696,0.182924809,6.626,1.930558,0.280630128,0.588,0,0.0588,0,0,0,0,0,0.098,0.0882,0,0.1274,0,0.02,0,0.0196,0,0,0,0,0,0,0
424,[66],(Fe60Cr10Mo9C13B6Er2)98Ni2,8,1340.615176,1430.431228,412.7456,BCC_B2,18107.70496,13.18201245,-22426.3096,-1.338467056,0.16485,M2B_C16,7.5619,MOB_BG,0.1206696,0.18172275,6.766,1.936558,0.276894515,0.588,0,0.0588,0,0,0.02,0,0,0.098,0.0882,0,0.1274,0,0,0,0.0196,0,0,0,0,0,0,0
425,[66],(Fe60Cr10Mo9C13B6Er2)98Nb2,5,1355.325176,1973.931228,441.7456,BCC_B2,40502.60496,26.01153528,-23552.8096,-1.338467056,1.803,FCC_L12#1,13.831,FCC_L12#1,0.1210296,0.183359854,6.666,1.930358,0.28086198,0.588,0,0.0588,0,0.02,0,0,0,0.098,0.0882,0,0.1274,0,0,0,0.0196,0,0,0,0,0,0,0
426,[67],Fe71W1Y6B22,3,1226.46,1526.87,300,none,24572.1,18.496267,-25855.1,-0.791132565,0.38559,M2B_C16,10.539,M2B_C16,0.12033,0.213147372,6.58,1.8449,0.186051041,0.71,0,0.22,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
